	SRR1204622	SRR1204623	SRR1204624	SRR1204625	SRR1204626	SRR1204627	SRR1204628	SRR1204629	SRR1204630	SRR1204631	SRR1204632	SRR1204633	SRR1204634	SRR1204635	SRR1204636	SRR1204637	SRR1204638	SRR1204639	SRR1204640	SRR1204641	SRR1204642	SRR1204643	SRR1204644	SRR1204645	SRR1204646	SRR1204647	SRR1204648	SRR1204649	SRR1204650	SRR1204651
Rhodobacter capsulatus	0	0	0	0	283	0	0	176	0	0	0	0	0	0	0	0	0	2	13	3	855	0	6	0	2	0	18	0	41	0
Rhodococcus erythropolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0
Rhodoferax ferrireducens	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsia montanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Riemerella anatipestifer	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
Roseburia hominis	0	0	39	66	0	8	20	0	3	0	0	0	0	0	5	0	1	2	1	233	0	59	2	45	0	50	0	0	0	102
Rothia dentocariosa	0	0	0	0	41	0	58	40	17	0	0	0	0	0	0	0	5	0	0	0	15	0	0	0	46	0	0	0	34	0
Rothia mucilaginosa	2252	117	1335	845	0	85	223	23	115	2777	69	28	677	0	126	601	0	288	81	52	0	226	116	78	0	11	37	261	13	332
Rubrobacter xylanophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0
Ruminococcus champanellensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Saccharopolyspora erythraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Salmonella enterica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebaldella termitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Segniliparus rotundus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Selenomonas ruminantium	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	11	0	0	0	0	0	59	0	6	5	25	5	0	0	4
Selenomonas sputigena	18	0	3	1	3	0	117	0	175	29	0	2	10	0	20	21	0	15	0	11	0	115	0	7	0	43	0	34	28	57
Serratia proteamaculans	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella baltica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Slackia heliotrinireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sphaerochaeta globosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sphingobium chlorophenolicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Sphingobium japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	6	0	21	0	0	0
Spirosoma linguale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0
Staphylococcus aureus	0	0	0	0	730	0	0	0	0	0	0	0	0	0	43	0	125	534	13860	5	2748	0	3722	0	6512	0	402	0	0	0
Staphylococcus epidermidis	13	21356	41	18	725	63	32	25958	16	161	28	62	26	21140	0	12	86	46	0	0	3018	34	5708	0	900	31	18146	0	1212	0
Staphylococcus haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	138	0	0	0	0	0	0	3	0	0
Staphylococcus saprophyticus	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas maltophilia	0	0	0	0	14	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	73	0	49	0	0	0	0	0	0	0
Streptobacillus moniliformis	0	0	25	6	0	25	0	0	21	0	0	88	0	0	253	0	0	22	0	0	0	0	0	1	0	0	0	0	0	3
Streptococcus agalactiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	16	0	0
Streptococcus dysgalactiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0
Streptococcus gordonii	124	285	205	43	145	60	88	88	244	517	0	204	66	0	159	465	206	295	24	10	0	44	44	16	0	2	10	44	0	0
Streptococcus infantarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus intermedius	85	0	83	63	0	0	46	0	88	369	0	32	0	0	0	122	0	1133	9	0	0	298	0	8	0	0	0	94	0	92
Streptococcus mitis	8224	993	32658	2087	0	16675	817	0	6966	3601	0	10122	8032	0	11049	12185	213	27526	0	614	608	106	259	3155	111	301	418	1089	0	1721
Streptococcus mutans	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	136	58	0	0	0	133	0	0	0	0	0	0	0	0	0
Streptococcus oralis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	1	0	0	0	0	0	0	369	0
Streptococcus parasanguinis	488	60	212	3358	94	49	663	30	164	878	0	51	534	0	158	617	0	70	5	66	0	601	0	608	34	993	65	1420	11	861
Streptococcus pasteurianus	0	0	3	0	0	4	1	0	8	0	0	5	0	0	2	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0
Streptococcus pneumoniae	0	0	1	0	12322	5	0	9252	0	0	731	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	2	0
Streptococcus pseudopneumoniae	0	0	6	0	0	19	0	0	0	0	0	0	0	1763	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus salivarius	2818	128	962	7090	0	698	855	145	392	2086	0	318	1400	28	382	2741	0	277	49	250	0	2063	138	532	0	109	0	3912	158	396
Streptococcus sanguinis	146	62	4	110	0	0	14	0	1	1164	0	2	259	0	10	722	0	0	0	24	0	83	0	0	0	0	63	233	0	77
Streptococcus suis	0	0	91	39	0	185	10	0	47	0	0	17	0	0	48	0	0	451	0	0	0	24	4	11	5	0	0	0	0	0
Streptococcus thermophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	79	0	0	0	0	0
Streptomyces albus	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella forsythia	0	0	0	12	0	0	5	0	0	0	0	0	0	0	2	0	1	0	1	68	0	37	0	0	0	6	0	0	21	6
Thermaerobacter marianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Thermanaerovibrio acidaminovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermoanaerobacterium xylanolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thiobacillus denitrificans	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolumonas auensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Treponema brennaborense	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	2
Treponema denticola	5	0	0	0	0	0	11	0	17	0	0	1	2	0	7	0	0	0	0	3	0	213	0	0	0	0	0	4	0	60
Tropheryma whipplei	0	0	0	0	0	0	12	0	0	28	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax paradoxus	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
Veillonella parvula	879	63	431	1406	435	272	1920	68	1514	501	54	214	1003	12	4023	1832	135	749	105	1764	113	6197	89	2889	132	1796	58	14738	98	2417
Vibrio furnissii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Weeksella virosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Weissella koreensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0
